user_id,censor_status,work_year
1,2,10+ years
2,1,10+ years
5,2,10+ years
6,0,8 years
7,2,10+ years
9,0,10+ years
10,2,10+ years
15,1,7 years
16,2,10+ years
17,0,10+ years
18,1,10+ years
20,1,7 years
21,2,10+ years
25,2,10+ years
26,0,10+ years
30,0,10+ years
31,0,6 years
33,1,10+ years
38,0,10+ years
39,1,10+ years
40,1,6 years
45,1,6 years
46,0,8 years
48,2,10+ years
49,0,6 years
53,1,7 years
57,2,10+ years
66,2,7 years
68,1,6 years
72,2,10+ years
77,0,8 years
79,1,10+ years
80,1,10+ years
81,1,10+ years
82,1,10+ years
86,1,10+ years
87,1,10+ years
89,1,10+ years
91,2,10+ years
93,0,10+ years
94,0,10+ years
95,2,6 years
96,1,10+ years
99,1,6 years
102,2,6 years
103,1,10+ years
106,1,9 years
107,2,8 years
108,0,10+ years
110,2,10+ years
111,1,10+ years
112,2,10+ years
115,1,10+ years
118,1,6 years
119,0,10+ years
121,0,8 years
125,2,10+ years
126,0,8 years
127,2,6 years
130,2,6 years
131,0,10+ years
132,0,10+ years
134,1,10+ years
135,0,8 years
136,1,6 years
137,1,10+ years
138,2,7 years
139,0,10+ years
144,2,10+ years
148,2,10+ years
149,2,10+ years
150,2,10+ years
151,2,6 years
152,1,10+ years
153,1,10+ years
154,2,8 years
155,1,9 years
156,2,10+ years
157,0,7 years
168,2,7 years
169,0,6 years
173,2,10+ years
179,2,8 years
183,2,9 years
184,0,10+ years
185,0,10+ years
193,2,10+ years
194,0,10+ years
195,1,10+ years
197,0,8 years
199,0,8 years
200,2,10+ years
201,1,9 years
203,2,9 years
204,0,7 years
205,0,7 years
206,1,10+ years
207,0,10+ years
209,0,6 years
210,2,6 years
211,2,8 years
213,1,10+ years
214,0,8 years
215,0,7 years
216,0,10+ years
220,0,10+ years
221,1,10+ years
224,0,10+ years
227,1,6 years
229,1,10+ years
230,0,10+ years
231,0,10+ years
233,1,6 years
236,2,10+ years
239,0,10+ years
240,2,10+ years
242,1,10+ years
243,2,8 years
244,0,10+ years
245,0,9 years
249,0,8 years
250,0,10+ years
251,2,10+ years
252,1,10+ years
255,1,9 years
257,0,10+ years
259,1,10+ years
262,2,6 years
263,2,10+ years
267,0,9 years
269,0,7 years
270,0,9 years
272,2,10+ years
273,1,10+ years
274,2,10+ years
277,1,7 years
281,1,10+ years
282,2,10+ years
283,1,10+ years
285,0,10+ years
286,0,10+ years
288,1,8 years
289,2,10+ years
290,0,8 years
294,1,10+ years
295,2,8 years
298,0,7 years
300,1,7 years
303,0,10+ years
308,2,10+ years
319,2,10+ years
320,0,10+ years
322,1,8 years
323,2,6 years
325,1,10+ years
327,0,10+ years
330,1,9 years
331,0,7 years
334,2,10+ years
